cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frToupOoOv,Thanks for the context,1 bulan yang lalu,The villain arc,UCtUMo6qAMpMVst4W6Kt5-Yw,61,https://yt3.ggpht.com/dB4LjnZ5vOga9XmFMODUltOPJZKUj3M2t9UWVdJ6xiXNQfv-k4tfH2_z-56pk8HL5C_3shS_XZc=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.377992
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frU-5UviQV, @IAMsoIExist  actually no it bothers us cause it true like even Walt disney himself was a racist and plus if you not see the negative comments? Literally they said they want to lynch her and talking about her race that is disheartening and unsettling to see and disney legit let them comments rolled in and didn't do anything about it until now it obvious atp,1 bulan yang lalu,JOHN Dickson,UCa38gIM2GwPaZR7SOhA9Mvg,669,https://yt3.ggpht.com/ytc/AMLnZu-_GSnwRG0_kaqWbyXi27wogkmjL-SQ7pMIWA=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.38119
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frUK3LZIRl,So it's to protest Disney and not to hide the hate comments for Halle Bailey?,1 bulan yang lalu,Goblinvids,UCtSgc_9k7QGsaRqSqFArlFQ,268,https://yt3.ggpht.com/ytc/AMLnZu_GITwVzCYO7o04-daoTaEs1L0NoipP9OqEJLL6=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.384135
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frURmXoR27,"So sad, this is the world we live in.",1 bulan yang lalu,Omar Hudson,UCh6syRqpbjfYzD18ShzKXrQ,337,https://yt3.ggpht.com/fnU3_8DM_7N7tBzirarDBmr_DxTkom2GTzVXW5u6CXeh0f4-FcQjJs8I84c49HB7Uc__jUgM9pU=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.386948
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frUWWyXq1N,Eu ainda não entendi,1 bulan yang lalu,Karina Rosa,UCLIXzkNtjdR0yxH_L_Kj6fQ,38,https://yt3.ggpht.com/ytc/AMLnZu9o16hgmCzxBq_9FoYCKkPsBIswrWQ39qxESKZS-A=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.389744
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frUqWNjlD5,These comments were looking peak cringe,1 bulan yang lalu,ChibiJoJoSaturnZ,UCNQcAilMDbkUOxx4zdscTKw,216,https://yt3.ggpht.com/OcpO0MDdHb8MZK_tRVzC4gTa8hgJOu2If6uxDn_C_MpnLsuO6Q3UHUaw8vcS_NbFRtUKWFeFAg=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.392347
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frUspCNvhY, @JOHN Dickson  no it doesn’t bother you…. You aren’t out protecting the black community.. so why do you really care???? About words wrote on a comment section….,1 bulan yang lalu,dill dirk,UCNRZBcYTjXaXz1fBPLj1P8w,85,https://yt3.ggpht.com/ytc/AMLnZu-EcAzFZM_O5qJuQkoxVyM6a4b8XBwoTCpHew=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.394903
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frVGEcvYhm,P sure it’s just morbius memes.,1 bulan yang lalu,jomsart,UC7ef0W3e66yqt8SUoL2vamg,26,https://yt3.ggpht.com/Kqyq9Z5uNK_vbvyJxHJDPjz1T8ni1DZfZASj6uGt9qmH7r-J0hGys5HinToyuBmyuws4Hy1V=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.397017
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frVWDMRtoy,i still don’t get it…,1 bulan yang lalu,danielle meikle,UCDqp0Vb_1TOegRtrdINyG3w,120,https://yt3.ggpht.com/ytc/AMLnZu-7AMarQhDQjVvJ5qfqsPzHepax0pgXfwkRY1o5=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.399199
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frVbGjTXoE," @dill dirk  those words were written to spike emotion, words have power. The best example is your emotional response to JD's comment.",1 bulan yang lalu,Zion'sWaters,UC-wjBvItDW5hzeOuGnKLkMg,77,https://yt3.ggpht.com/ytc/AMLnZu-O-8JeWVxUyJ2oCDB8KNyd5oh6Ri2OlsE2IxjL7LpKjZPMAAvPaZSORPEo_kDK=s176-c-k-c0x00ffffff-no-rj,false,true,1664341270.401575
